Paises;%TotalMuerte;hospital_beds_per_thousand;life_expectancy;human_development_index;%PIB
Belgium;0,001567;5,64;81,63;0,931;7,82
San_Marino ;0,0014803;3,8;84,97;0;6
Peru;0,0011282;1,6;76,74;0,777;3,28
Italy;0,0010689;3,18;83,51;0,892;6,4
Andorra;0,0010371;0;83,73;0,868;4,56
North_Macedonia ;0,0010211;4,28;75,8;0,774;3,77
Spain;0,0010146;2,97;83,56;0,904;6,32
Bosnia_and_Herzegovina ;0,0010106;3,5;77,4;0,78;6,21
Reino_unido ;0,0009628;2,54;81,32;0,932;7,86
Montenegro;0,0009354;3,861;76,88;0,829;5,06
Argentina;0,0009103;5;76,67;0,845;5,91
Estados_unidos_de_América;0,0009092;2,77;78,86;0,926;8,51
Czechia;0,0009023;6,63;79,38;0,9;6,32
Mexico;0,0008932;1,38;75,05;0,779;2,69
France;0,0008642;5,98;82,66;0,901;8,26
Brazil;0,0008595;2,2;75,88;0,765;3,96
Armenia;0,0008463;4,2;75,09;0,776;1,24
Chile;0,0008382;2,11;80,18;0,851;4,65
Bulgaria;0,0008126;7,454;75,05;0,816;4,23
Ecuador;0,0007986;1,5;77,01;0,759;4,23
Panama;0,0007903;2,3;78,51;0,815;4,64
Bolivia;0,0007833;1,1;71,51;0,718;4,48
Colombia;0,0007758;1,71;77,29;0,767;5,47
Sweden;0,0007345;2,22;82,8;0,945;9,27
Hungary;0,0007296;7,02;76,88;0,854;4,63
Slovenia;0,0007011;4,5;81,32;0,917;6,01
Romania;0,0006894;6,892;76,05;0,828;4,43
Croatia;0,0006477;5,54;78,49;0,851;5,68
Luxembourg;0,0006451;4,51;82,25;0,916;4,49
Moldova;0,0006361;5,8;71,9;0,75;0
Iran;0,0006295;1,5;76,68;0,783;0
Switzerland;0,0006294;4,53;83,78;0,955;3,71
Poland;0,0006021;6,62;78,73;0,88;4,5
Netherlands;0,0005806;3,32;82,28;0,944;6,48
Portugal;0,0005409;3,39;82,05;0,864;5,78
Belize;0,0004996;1,3;74,62;0,716;3,9
Austria;0,0004967;7,37;81,54;0,922;7,55
Liechtenstein;0,000469;2,397;82,49;0,919;0
Georgia;0,0004601;2,6;73,77;0,812;2,81
Ireland;0,0004331;2,96;82,3;0,955;5,12
Bahamas;0,0004185;2,9;73,92;0,814;3,14
South_Africa;0,0003975;2,32;64,13;0,709;4,46
Costa_Rica ;0,0003754;1,13;80,28;0,81;5,48
Canada;0,000359;2,5;82,43;0,929;7,93
Israel;0,000352;2,99;82,97;0,919;4,86
Albania;0,0003504;2,89;78,57;0,795;2,84
Ukraine;0,0003466;8,8;72,06;0,779;3,7
Greece;0,000338;4,21;82,24;0,888;4,01
Malta;0,0003363;4,485;82,53;0,895;5,69
Serbia;0,0003347;5,609;76;0,806;5,07
Jordan;0,0003331;1,4;74,53;0,729;3,83
Tunisia;0,000333;2,3;76,7;0,74;4,18
Russia;0,0003218;8,05;72,58;0,824;3,16
Iraq;0,00032;1,4;70,6;0,674;1,98
